,uuid,id,sex,weight,predicted_weight,area,width,height,MA,ma,eccentricity,perimeter,% area,symmetry,centroid_x,centroid_y,orientation,center distance,x,y
542,7884200016734c0798838adaa35e321e,TA0477,1,16.1,17.700000000000024,199098.16947946444,458,341,455.1307678222656,308.47845458984375,0.7352649193357863,1629.7413259744644,56.562608394034,0.5136483839915023,221.33870619713448,451.69598006214403,-1.258010062841088,33.39627521145948,236,54
751,a8068ecae3e14c538b4d51c560b0b9dc,TA5751,1,26.8,16.0,265859.0378963503,622,296,602.2459106445312,286.521484375,0.8795778588316225,1754.8123936653135,56.97868286292724,0.2568272505164656,250.65964358470828,466.8215078826142,-1.5359829509589118,44.128330341106285,149,118
1703,9d8aa978ca0a414ea7757311d0c10509,TA0440,1,16.0,18.900000000000002,155015.08106567507,610,356,685.234375,210.40234375,0.9516928526489596,1922.0672268867493,36.36371457576957,0.15756610161549187,237.20149321164752,491.3640974089051,-1.2706088716761497,67.42220153599929,181,39
321,340f7f5e3e18416590e8fc4e80b3c800,TA0159,1,22.3,17.700000000000024,214356.4226785436,400,264,439.2000732421875,178.4206085205078,0.9137664452578192,1078.2123266458514,55.61565895178043,0.4847192375203006,261.8318567087798,470.7233168079322,-1.0884671712324605,51.572262902524365,280,133
175,7a6d43e81b16427387c39e460579565f,0268,1,24.5,16.800000000000008,313459.99212110904,583,202,624.0134887695312,175.2548370361328,0.9597513707017522,1537.0579986572266,57.18056897730219,0.28784537906628554,289.203604123495,387.1287542953073,-1.548067266760206,61.485635871782534,89,201
1185,0800536b24dd40e7b87a0dc9a343f114,TA0427,0,18.9,26.80000000000005,213248.19996200566,582,303,591.8448486328125,249.141845703125,0.907080112815322,1650.4448626041412,53.5619272834762,0.3231226599835628,188.37811953309543,488.6086363501585,-1.3858681820214458,82.69881760924045,188,58
347,c61aeea316264bcd9f3a1479a5d1c2dc,TA0477,1,16.1,14.3,212422.64303211673,585,290,562.4884643554689,283.4337158203125,0.8637663765683647,1679.883461356163,51.473257088070135,0.19110059952697872,201.54891484382514,468.45239952554465,-1.4923228839636562,58.77500976831954,195,47
563,06c29201ffbe481a81830c51545d6d32,TA0432,0,14.3,26.80000000000005,194461.4304072416,441,359,504.3262634277344,214.10009765625,0.9054152950649732,1436.261097073555,41.05303284987033,0.2744666048237477,249.26816317356858,400.2436646625836,-1.0168876130059388,25.500241514065582,203,77
568,90644fa9af6f4d70a3495c1a689463e0,TA5751,1,26.8,26.80000000000005,251445.72114559804,689,242,699.8666381835938,227.80490112304688,0.945542871384956,1741.148399233818,58.149678604224064,0.30397383673113954,261.5138220871022,489.7280385531282,1.5005386342953164,69.15937819874465,114,147
119,d589cc033f514f7aa45d8b7e06bea66a,0251,0,24.2,27.2,269918.5379891116,604,292,679.7064208984375,170.02474975585938,0.9682085430756684,1705.4154250621796,40.02743883426528,0.2820288587669436,266.6832275073336,394.53773222927737,-1.2997498924878004,39.749463548605135,74,128
1425,2e52e63532794e1c84199b3f4346f910,TA433,0,17.7,23.9,218406.93450451558,537,424,632.47802734375,191.8701934814453,0.9528751853494386,1798.4347579479218,34.76713789877689,0.2992477082502989,218.29412757747497,432.26626070179674,-0.9343108646242336,23.2266218726056,155,22
74,1c53cb5bbac9474a9b1d3b5db57cbc38,0268,1,24.5,16.0,296075.1853912372,533,293,588.427001953125,204.5716094970703,0.9376212528997796,1605.2905346155167,44.71299534650171,0.27106141781194193,303.27652450875894,380.26724516282746,-1.2870751656801682,76.91860892889191,106,129
1207,5c6e364b0a274ea0a1273b8fa937b761,TA0477,1,16.1,25.5,206458.42220712657,567,359,577.49169921875,271.80133056640625,0.8823155058873466,1678.7291333675385,42.58888931414575,0.22293291731669268,223.84549867799402,448.98374582809583,-1.1917353618988675,29.751562455870985,174,14
