,uuid,id,sex,area,width,height,MA,ma,% area,eccentricity,perimeter,symmetry,weight,x,y,centroid_x,centroid_y,center distance,orientation
10,dd8294bd065c48b2882d79b2b8be5104,0236,0,291439.3377594229,567,323,669.4257202148438,166.56687927246094,36.09982531551159,0.9685496019212141,1565.983966588974,0.26944736345754855,25.5,197,105,272.76118922123277,489.2264262793665,72.9916584574364,1.1849240393645406
11,8ee7550d638e42fa8f55867444770eef,0239,1,240008.33268037566,504,331,535.0010986328125,207.57347106933594,36.44423344447634,0.9216648458635337,1433.449914932251,0.19500847928203743,22.8,172,99,222.40270901990388,432.1076784599527,19.375218704524425,1.099563785123792
12,5c90bd59cfd74b4f8c8d8f6fd135f512,0273,1,275900.4376763395,553,244,614.0639038085938,189.94677734375,53.4910335700975,0.9509556105124184,1485.1585038900375,0.25913130554512454,22.5,129,144,252.7069028266408,410.0159286667475,18.894963098645775,1.3844670393259875
13,25996f72fe8040d9be8410d4593a00ef,0251,0,274851.43809191283,600,268,657.0164184570312,183.28817749023438,44.641744907610324,0.9602996814518414,1638.7636232376099,0.2616898992614211,24.2,66,136,266.4068748844945,377.54587568533236,53.435088724619355,-1.3666786818365209
14,9782bca62cac4398b4c57107914af733,0239,1,239553.7626472314,503,322,532.5149536132812,201.01002502441406,36.49996572290396,0.9260205845528902,1406.9646337032318,0.20848451018699413,22.8,175,109,229.1797550971528,433.27844974701355,14.253677752266146,1.1145700062322053
15,7b85ce2504aa488d8fbcc05dd3fc4172,0238,1,287038.12228418846,521,194,544.9478759765625,166.37884521484375,55.88684294841591,0.9522525385526333,1409.1412589550018,0.3136587400917814,25.8,171,235,323.4334859070104,427.9250622339998,83.52576060196083,1.5331216307079343
16,a66287dd926d4b1d98698fd380a06c28,0238,1,293264.33737121074,453,328,505.4435729980469,171.86729431152344,36.59186645171356,0.9404136473933233,1397.273289680481,0.27725418483612324,25.8,74,123,279.9460855474157,277.85675703048514,151.50424817874946,1.0507674070756192
17,5159eacc4d8243e0804c7fc2e978d8fc,0236,0,291914.6701523486,568,323,666.89990234375,167.83633422851562,36.51423802963643,0.9678140293742034,1565.983966588974,0.2738422357750821,25.5,194,100,268.34670862500803,487.58872262539336,69.62084124025161,1.1849495148640934
18,8e5192086ad2413b99aed27ed75843fc,0239,1,235199.3463497931,501,323,531.029296875,199.84210205078125,36.26473931363881,0.926485805773275,1408.9646337032318,0.19396315170521364,22.8,175,108,228.36395872164385,431.9300207604067,14.081288502551514,1.1127642276985337
19,ebd61e0c573f404abb9c00dfbe12a1a9,0274,0,236331.07063425894,695,237,719.1602172851562,190.633056640625,48.04601846921892,0.9642271615887309,1815.373794913292,0.1519229407181812,25.4,63,113,241.2126704071488,442.06264355338186,18.103305268732054,1.4275356422364565
20,310afc048d3745778237ebee3307e312,0251,0,276736.405532394,608,284,670.173828125,183.54283142089844,42.38843531599308,0.9617657317401325,1678.3199721574783,0.26832862888117304,24.2,63,133,266.1013320189464,377.97266235483636,52.91309236725041,-1.3515558204127491
21,25aa915dcf8741fb80541b88feeebfbe,0271,1,248027.13365421153,545,191,572.4938354492188,173.40005493164062,60.800453392346306,0.9530269681939895,1402.028561115265,0.340786136320319,20.5,104,181,273.62255506857866,395.00914854687034,44.395333958841164,1.4742193416098024
22,706ab366ce8d422fa8a83a3c49f42a08,0271,1,248753.0730523446,544,191,571.9278564453125,173.35423278808594,60.89366311608594,0.9529571431735472,1401.6854152679443,0.34090808936939054,20.5,104,181,273.38223630910926,394.64094546384865,44.45590831659974,1.4754128594755322
23,b830cf05d2694fd285a369d8ddd190c9,0236,0,290778.14944461663,566,325,671.2215576171875,165.39505004882812,35.70571742045593,0.9691659259631656,1560.2266072034836,0.27232118685364665,25.5,194,104,274.35124834720386,485.82282025355835,70.7253092401515,1.1811104026183377
24,f31cb09d47a246eb9a02530d7fab1856,0267,0,242260.22380943352,656,223,673.364990234375,206.14515686035156,59.20411652740588,0.9519859297240988,1649.8103057146072,0.31560168666882904,20.1,100,131,242.5621162666219,450.7086827384263,26.831290937739105,-1.5141526404524184
25,0a90bcb9a8234ac08be13c9881555563,0272,1,238236.02467257623,620,340,585.1795043945312,283.15460205078125,38.06520540391508,0.8751363017562643,1912.3931277990341,0.1313776120116674,22.3,91,116,248.15255219073657,411.14319145485297,15.223719426909097,-1.2506010884752186
26,560fda52c87449ca9dadc2c8bb33a628,0268,1,293963.2950191397,563,310,589.3053588867188,226.8505401611328,46.87675070028011,0.9229392390901706,1784.285482287407,0.2881627534313384,24.5,106,106,290.2056285601489,393.80610230669447,58.58563473270082,-1.3103745782521676
27,58de9c20e52f4fa393f8f06f1b6a5dd9,0238,1,217269.48688068832,407,224,419.05682373046875,194.22267150878906,67.58648205659075,0.8861096085524297,1079.6610300540924,0.5408649658732798,25.8,254,184,296.2850768850738,461.6015716667696,67.68964523300355,1.3337055244148197
28,fb60337f16e048829886f42d9b3268ea,0265,1,221777.23812015034,414,209,425.91558837890625,182.58529663085938,67.95335495135944,0.9034521590845821,1079.9625457525253,0.5169182889683486,23.4,156,143,244.90004369851263,359.84928868532216,64.33757992360661,-1.329256784803549
29,f2f848e2b7e7476aa83e3b6625f671e4,0238,1,298005.95188895793,506,196,513.162109375,184.2093505859375,60.97720697474392,0.9333494368206652,1502.9646337032318,0.2889685586471652,25.8,181,163,257.41010166159896,421.3851316072361,17.605373514319044,-1.4911772828974492
30,40726b524ec844418b7390d31017461b,0238,1,320181.60281085246,563,198,586.05029296875,176.18167114257812,60.11129975476325,0.9537422606385656,1507.9108109474182,0.3447135630104853,25.8,217,169,276.2828994050543,485.6591343267289,71.54227865506445,-1.5383509471472478
31,94e45689a8fd43d9a70e7109c84c8376,0230,0,304875.6314059609,511,347,572.762451171875,194.81072998046875,41.241268421500976,0.9403802962772337,1450.7047481536865,0.3539025077486616,25.5,160,98,299.56638479644323,412.01470789693263,60.76019605394466,-1.0799608535867633
32,5e91204b35824294824c042577bde77c,0261,1,318186.0034218426,691,287,725.1209716796875,231.0948486328125,54.90556678646301,0.9478561965085949,1898.9545290470123,0.32986601890800754,27.1,57,154,297.80646579615404,429.69590682085914,58.08640841327545,1.4155423183093614
33,4b89b41207b24216a38cdd19408022b4,0268,1,291219.95206019015,579,308,605.2432861328125,226.96267700195312,47.526395173454,0.9270271870813231,1778.5281229019165,0.2973234150616896,24.5,97,87,268.41311772343886,391.26083777974185,43.34925606801545,-1.3290136605434135
34,1dbd11cc971a436685a36c2ef13232f0,0238,1,297645.3786906609,527,223,578.7071533203125,155.83682250976562,49.02895921941456,0.963060693275428,1427.1656441688538,0.33123835391466383,25.8,115,138,254.76105506963702,369.75531039527016,56.217213530042045,-1.3737006693119054
35,dad688c78eee4a17868a469ebca2db64,0238,1,298155.8842937253,735,266,807.7747192382812,222.6718292236328,52.89483035948079,0.9612549717335506,2005.6753106117249,0.3052580800771828,25.8,37,109,253.6406866865337,417.29709720418055,15.198593328672963,1.4738457666414522
36,451320d138b74462b4ff7255b7bd0619,0272,1,241119.79559385742,624,343,588.4642333984375,284.656494140625,38.12158192090396,0.8752185098233068,1923.4641954898834,0.1365851367377852,22.3,92,116,248.59557726687848,413.7846479691183,13.35055675489668,-1.2524989506160045
37,ee7e9384f8674b2fafa15572ce901d5e,0272,1,246636.58794525347,699,344,643.705322265625,272.5173645019531,35.738028169014086,0.9059627883183732,2028.317007780075,0.1050765044385957,22.3,35,134,259.79221045808123,410.69114088159034,23.85073009051622,-1.3035650933776735
38,18f66da079d4471db871624cb6ab8fc2,0268,1,296378.46105236356,559,306,574.32861328125,222.77272033691406,45.84245513215206,0.9217083150231533,1741.197169661522,0.24032039433148492,24.5,103,117,298.2541755274665,381.6377386442379,72.02853707773586,-1.2779043948711843
39,86dd02bdcab5488297a1b416fdb40006,0268,1,285169.6975097924,543,337,603.7229614257812,207.68687438964844,41.19776090790584,0.9389659004147302,1786.895653963089,0.24507056104636868,24.5,151,77,273.0680503653631,429.3677195153881,33.500871149301005,-1.1470792532235088
40,f6f09697cf0a437187946b88da3ea27b,0251,0,269987.78843362356,606,294,682.5702514648438,169.4478759765625,39.26827141112855,0.9686960694363368,1714.8296386003494,0.28027587634735573,24.2,70,128,266.5645324000847,391.4300250333155,42.02948549489521,-1.3002283528005616
41,03276e30c7e04691b24b0d652f070bc1,0268,1,306483.57812474883,633,215,690.6223754882812,174.24176025390625,53.03641948222905,0.9676499185969216,1625.325024485588,0.303429313758876,24.5,34,78,183.53055099933175,369.9656642974303,78.15694534241388,1.4365348348436129
42,85226bb9c3bf4c6dbb01dfa4598ebb41,0239,1,280197.9604364159,592,342,639.30712890625,204.40277099609375,38.104573286035034,0.9475102242727368,1731.6580656766891,0.22732817206442457,22.8,140,36,192.85732429129425,446.72663008315163,52.33480283628293,-1.233848336327272
43,2c1d29486c2141d597c1268fc3df10f0,0272,1,239434.81924667928,618,342,586.4559326171875,282.4745788574219,38.224890029325515,0.8763560960369924,1910.9789142608643,0.1428367918704592,22.3,91,111,243.77035493009652,410.0137503742774,14.485536058148806,-1.2505846116228763
44,1bf8296ae2344718b8c4e943e1564603,0268,1,294850.8327959376,566,312,592.5350952148438,226.54010009765625,46.03247623198231,0.9240285332288051,1800.285482287407,0.28116710875331563,24.5,103,105,291.21437962848506,390.864440873386,60.99899965871504,-1.3009941160769196
45,e25d4e58a95d4a9a84a0bf862cd63fb4,0236,0,266517.18525488116,564,325,665.3565063476562,166.82211303710938,36.013006134969324,0.9680581180550488,1560.7118884325027,0.2761927919165721,25.5,194,104,275.00781290489766,484.715859030837,70.08539435743221,1.1772386278440772
