,uuid,id,sex,weight,predicted_weight,area,width,height,MA,ma,eccentricity,perimeter,% area,symmetry,centroid_x,centroid_y,orientation,center distance,x,y
1703,9d8aa978ca0a414ea7757311d0c10509,TA0440,1,16.0,24.5,155015.08106567507,610,356,685.234375,210.40234375,0.9516928526489596,1922.0672268867493,36.36371457576957,0.15756610161549187,237.20149321164752,491.3640974089051,-1.2706088716761497,67.42220153599929,181,39
1502,563ecbb5e2f245d7a57a8399cdda5af5,TA5751,1,26.8,26.799999999999965,250371.51998181405,692,242,704.0841064453125,228.08331298828125,0.9460765048581984,1763.047894001007,58.46712279275618,0.3109492548756529,260.7306336386189,489.251123836526,1.500657419410751,68.46508842460001,113,146
999,3f4a5873fd8247bab4c7a4d7d4b9ebda,TA433,0,17.7,26.799999999999965,217611.15772686613,563,432,653.4675903320312,191.35504150390625,0.9561644614050666,1867.446950554848,34.036220871327245,0.2950710505975385,211.57525944566936,421.10318953674965,-0.9280334864821708,28.571968543329426,125,9
1618,5852c40d88df45bf92944b88f8440c3b,TA433,0,17.7,27.200000000000014,213679.56396945848,546,436,633.98095703125,212.1949615478516,0.9423238769101308,1853.2875702381132,33.78969013803093,0.31636239382993264,216.4914369673817,467.52540699382894,-0.9463202810196908,49.46830894458638,185,14
1020,81a3fb272d7a4d9d8aab12b017e7a9eb,TA5751,1,26.8,22.900000000000002,275296.8092192475,603,333,584.3796997070312,303.555908203125,0.8545009788993833,1764.285482287407,52.10518861474145,0.25766882585064405,254.69385664291283,474.0950153221273,-1.4297621106381593,52.20555509873106,175,117
1513,9b120f1b7ea148ea93a99887ae475ce7,TA0440,1,16.0,16.1,197792.4545427849,637,341,717.8743286132812,198.01901245117188,0.9612033426143824,1800.5453678369522,38.93712164085679,0.2988297454259639,240.87958037980687,514.2100944777393,1.2287041942490535,90.21438248598274,197,50
975,3a558673ec384fdf8f56e124f92b898b,TA433,0,17.7,26.799999999999965,213679.56396945848,546,436,633.98095703125,212.1949615478516,0.9423238769101308,1853.2875702381132,33.78969013803093,0.31636239382993264,216.4914369673817,467.52540699382894,-0.9463202810196908,49.46830894458638,185,14
1476,421b03788b9e41b189216750d9fb3fff,TA5751,1,26.8,22.900000000000002,267160.3382814277,574,345,560.2484741210939,299.73583984375,0.8448487731772285,1706.5453678369522,49.510171649672785,0.25466815757443817,259.4508476208823,477.4271912926218,-1.3349995562408798,56.85771928761468,199,118
1809,d1836cab8ac042728ade0bd7b34a2435,TA5751,1,26.8,26.799999999999965,272721.8989755636,619,317,598.3428344726562,292.89398193359375,0.8719984517824974,1759.7413259744644,53.31147623354437,0.2538791247870927,254.92499567422843,469.7763803764788,-1.4704037167540709,48.14802691957176,157,121
1327,42209d8b880c4d54ae4727c5d7b698de,TA5751,1,26.8,26.799999999999965,270704.2866184989,575,346,562.1569213867189,302.826416015625,0.8425062121604416,1722.3027272224426,49.633270911360796,0.26007822634920946,258.8753050198916,475.90193788513216,-1.3423603774942308,55.227604472999325,198,120
